Raison,Source,Validation,Pages
Autre page avec balise canonique correcte,Site Web,Non commencé,157
Introuvable (404),Site Web,Non commencé,61
Soft 404,Site Web,Non commencé,5
"Exclue par la balise ""noindex""",Site Web,Non commencé,3
Page en double sans URL canonique sélectionnée par l'utilisateur,Site Web,Non commencé,3
Erreur serveur (5xx),Site Web,Non commencé,2
Bloquée par le fichier robots.txt,Site Web,Non commencé,1
Page en double : Google n'a pas choisi la même URL canonique que l'utilisateur,Systèmes Google,Non commencé,828
"Détectée, actuellement non indexée",Systèmes Google,Non commencé,210
"Explorée, actuellement non indexée",Systèmes Google,Non commencé,10
Page avec redirection,Site Web,Commencé,4245
