Pays,Clics,Impressions,CTR,Position
France,1306,24203,5.4%,16.6
Réunion (Île de la),492,2632,18.69%,4.9
Madagascar,365,3801,9.6%,5.29
Maurice (Île),218,3584,6.08%,9.02
Mayotte,121,469,25.8%,3.93
Suisse,78,670,11.64%,10.6
Belgique,41,567,7.23%,6.59
Afrique du Sud,40,424,9.43%,6.68
Espagne,32,550,5.82%,17.84
Allemagne,31,680,4.56%,19.29
Royaume-Uni,21,932,2.25%,13.83
États-Unis,20,4089,0.49%,19.78
Nouvelle-Calédonie,18,87,20.69%,4.7
Canada,17,886,1.92%,35.09
Italie,17,452,3.76%,19.03
Seychelles,15,531,2.82%,7.5
République démocratique du Congo,15,72,20.83%,4.71
Pays-Bas,11,875,1.26%,32.85
Thaïlande,10,192,5.21%,10.54
Guadeloupe,10,102,9.8%,5.4
Malaisie,10,75,13.33%,15.65
Martinique,9,204,4.41%,6.49
Inde,8,448,1.79%,16.83
Australie,8,230,3.48%,7.01
Polynésie française,8,95,8.42%,5.65
Mozambique,8,16,50%,2.31
Portugal,7,96,7.29%,8
Sénégal,7,54,12.96%,7.24
Nouvelle-Zélande,6,65,9.23%,5.72
Comores (Archipel),6,50,12%,4
Pologne,5,104,4.81%,7.85
Autriche,5,89,5.62%,10.34
Tanzanie,5,61,8.2%,7.3
Équateur,5,57,8.77%,16.28
Kenya,5,40,12.5%,13.47
Panama,5,35,14.29%,5.71
Côte d'Ivoire,5,24,20.83%,10.12
Maroc,4,179,2.23%,7.1
Émirats Arabes Unis,4,105,3.81%,7.54
Roumanie,4,62,6.45%,6.29
Irlande,4,58,6.9%,7.84
Malte,4,19,21.05%,6.79
Brésil,3,258,1.16%,9.59
Algérie,3,122,2.46%,14.59
Turquie,3,112,2.68%,12.99
Suède,3,89,3.37%,6.18
Russie,3,77,3.9%,10.29
Croatie,3,48,6.25%,6.67
Luxembourg,3,47,6.38%,7.91
Israël,3,45,6.67%,18.82
Norvège,3,42,7.14%,7.74
Arabie Saoudite,3,42,7.14%,19.12
République Dominicaine,3,24,12.5%,13.71
Zimbabwe,3,23,13.04%,5.96
Namibie,3,17,17.65%,6.76
Mexique,2,96,2.08%,11.27
Tunisie,2,91,2.2%,7.32
République tchèque,2,46,4.35%,6.52
Singapour,2,38,5.26%,8.34
Saint-Martin,2,36,5.56%,7.53
Maldives,2,28,7.14%,7.39
Slovaquie,2,24,8.33%,9.67
Angola,2,13,15.38%,6.15
Grenade,2,11,18.18%,4.73
Wallis-et-Futuna,2,5,40%,9.2
Samoa,2,3,66.67%,1.33
Indonésie,1,156,0.64%,25.65
Philippines,1,151,0.66%,27.91
Argentine,1,73,1.37%,22.29
Corée du Sud,1,62,1.61%,28.21
Grèce,1,59,1.69%,5.17
Égypte,1,58,1.72%,21.78
Nigéria,1,43,2.33%,12.6
Danemark,1,42,2.38%,5.95
Japon,1,42,2.38%,15.67
Gabon,1,26,3.85%,9.35
Cameroun,1,21,4.76%,5.95
Lituanie,1,20,5%,9.95
Albanie,1,19,5.26%,7.95
Éthiopie,1,19,5.26%,32.11
Chypre,1,17,5.88%,3.35
Congo-Brazzaville,1,16,6.25%,7.75
Hong-Kong,1,16,6.25%,11.62
Uruguay,1,15,6.67%,7.73
Cap-Vert,1,14,7.14%,6.21
Saint-Barthélemy,1,14,7.14%,6.57
