URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
myboat-oi.com/admin/articles/6,No,No,Not tagged
www.myboat-oi.com/acheter/monocoque/gib-sea-432405.html,No,No,Not tagged
www.myboat-oi.com/acheter/monocoque/goelette-german-fres1809.html,No,No,Not tagged
www.myboat-oi.com/acheter/multicoques/mahe-361809.html,No,No,Not tagged
www.myboat-oi.com/es/barcos,No,No,Not tagged
www.myboat-oi.com/bateaux/sun-odyssey-39-i1911-188,No,No,Tagged
www.myboat-oi.com/en/boats/galapagos-431604-176,No,No,Tagged
www.myboat-oi.com/contact,No,Yes,Tagged
www.myboat-oi.com/bateaux/lagoon-4503001-172,No,No,Tagged
www.myboat-oi.com/bateaux/trimaki1711-120,No,Yes,Tagged
www.myboat-oi.com/vendre,No,Yes,Tagged
myboat-oi.com/de/partner,No,No,Tagged
myboat-oi.com/de,No,No,Tagged
myboat-oi.com/en/boats,No,No,Tagged
myboat-oi.com/en,No,No,Tagged
www.myboat-oi.com/en/boats/edel-cat-35-open1710-159,No,No,Tagged
www.myboat-oi.com/bateaux/norman-cross-36r3107-145,No,No,Tagged
www.myboat-oi.com/en/boats/norman-cross-36r3107-145,No,No,Tagged
www.myboat-oi.com/en,No,Yes,Tagged
www.myboat-oi.com/en/boats/dean-4410611-117,No,No,Tagged
www.myboat-oi.com/en/boats/leopard-382202-129,No,No,Tagged
www.myboat-oi.com/en/boats,No,Yes,Tagged
www.myboat-oi.com/bateaux/ultra-mar-shaft-7m301311-186,No,No,Tagged
myboat-oi.com/articles,No,No,Tagged
myboat-oi.com/,No,No,Tagged
myboat-oi.com/contact,No,No,Tagged
myboat-oi.com/en/,No,No,Tagged
myboat-oi.com/bateaux/galapagos-431604-176,No,No,Tagged
www.myboat-oi.com/nl/boten/norman-cross-36r3107-145,No,Yes,Tagged
www.myboat-oi.com/bateaux/beneteau-flyer-7-8-9-neuf1107-141,No,No,Tagged
www.myboat-oi.com/bateaux,No,No,Tagged
www.myboat-oi.com/,No,Yes,Tagged
www.myboat-oi.com/bateaux/hunter-2351906-106,No,No,Tagged
www.myboat-oi.com/bateaux/leopard-532309-150,No,No,Tagged
www.myboat-oi.com/bateaux/edel-cat-35-open1710-159,No,No,Tagged
www.myboat-oi.com/bateaux/dean-4410611-117,No,No,Tagged
www.myboat-oi.com/bateaux/iris-372502-174,No,No,Tagged
www.myboat-oi.com/bateaux/lagoon-52s1103-175,No,No,Tagged
www.myboat-oi.com/bateaux/djerba-4702907-183,No,No,Tagged
www.myboat-oi.com/bateaux/bahia-462707-144,No,No,Tagged
www.myboat-oi.com/bateaux/dean-4401911-163,No,No,Tagged
www.myboat-oi.com/bateaux/leopard-382202-129,No,No,Tagged
www.myboat-oi.com/bateaux/lagoon-410-s21702-89,No,No,Tagged
myboat-oi.com/bateaux,No,No,Tagged
myboat-oi.com/articles/acheter-bateau-ile-maurice-guide,No,No,Tagged
myboat-oi.com/bateaux/lagoon-410-s21702-89,No,No,Tagged
www.myboat-oi.com/it/articoli/quel-type-de-bateau-choisir-pour-naviguer-dans-locean-indien,No,Yes,Tagged
www.myboat-oi.com/bateaux/triswood2607-73,No,No,Tagged
www.myboat-oi.com/bateaux/jeanneau-45121012-47,No,No,Tagged
myboat-oi.com/bateaux/djerba-4702907-183,No,No,Tagged
myboat-oi.com/categories,No,No,Tagged
www.myboat-oi.com/es/barcos/lagoon-4701602-54,No,No,Tagged
www.myboat-oi.com/acheter/monocoque.html,No,No,Tagged
www.myboat-oi.com/acheter/monocoque/dufour-413001.html,No,No,Tagged
www.myboat-oi.com/acheter/multicoques/wharram-naria-mk-iv2202.html,No,No,Tagged
www.myboat-oi.com/acheter/multicoques/dix-harvey2410.html,No,No,Tagged
www.myboat-oi.com/acheter/monocoque/nouanni-44-deriveur-alu1801.html,No,No,Tagged
www.myboat-oi.com/acheter/monocoque/galapagos-431604.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/leopard-382202.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/hunter-2351906.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/riviera-30000510.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/edel-cat-35-open1710.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques.html,No,No,No recent data
www.myboat-oi.com/acheter/acheter-bateau-reunion.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/toky-9m501812.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau-moteur.html,No,No,No recent data
